Profiles;Size;h(m);b(m);e.r(m);e1(m);r1(m);h1(m);A(m2);P(Kg/m);Iz(m4);Wz(m3);iz(m);Iy(m4);Wy(m3);iy(m);u(m2/m)
IPN;80;0.08;0.042;0.0039;0.0059;0.0023;0.059;0.000758;5.95;0.000000778;0.0000195;0.032;6.29E-08;0.000003;0.0091;0.304
IPN;100;0.1;0.05;0.0045;0.0068;0.0027;0.075;0.00106;8.32;0.00000171;0.0000342;0.0401;0.000000122;0.00000488;0.0107;0.37
IPN;120;0.12;0.058;0.0051;0.0077;0.0031;0.092;0.00142;11.1;0.00000328;0.0000547;0.0481;0.000000215;0.00000741;0.0123;0.439
IPN;140;0.14;0.066;0.0057;0.0086;0.0034;0.109;0.00183;14.4;0.00000573;0.0000819;0.0561;0.000000352;0.0000107;0.014;0.502
IPN;160;0.16;0.074;0.0063;0.0095;0.0038;0.125;0.00228;17.9;0.00000935;0.000117;0.064;0.000000547;0.0000148;0.0155;0.575
IPN;180;0.18;0.082;0.0069;0.0104;0.0041;0.142;0.00279;21.9;0.0000145;0.000161;0.072;0.000000813;0.0000198;0.0171;0.64
IPN;200;0.2;0.09;0.0075;0.0113;0.0045;0.159;0.00335;26.3;0.0000214;0.000214;0.08;0.00000117;0.000026;0.0187;0.709
IPN;220;0.22;0.098;0.0081;0.0122;0.0049;0.175;0.00396;31.1;0.0000306;0.000278;0.088;0.00000162;0.0000331;0.0202;0.775
IPN;240;0.24;0.106;0.0087;0.0131;0.0052;0.192;0.00461;36.2;0.0000425;0.000354;0.0959;0.00000221;0.0000417;0.022;0.844
IPN;260;0.26;0.113;0.0094;0.0141;0.0056;0.208;0.00534;41.9;0.0000574;0.000442;0.104;0.00000288;0.000051;0.0232;0.906
IPN;280;0.28;0.119;0.0101;0.0152;0.0061;0.225;0.00611;48;0.0000759;0.000542;0.111;0.00000364;0.0000612;0.0245;0.966
IPN;300;0.3;0.125;0.0108;0.0162;0.0065;0.241;0.00691;54.2;0.000098;0.000653;0.119;0.00000451;0.0000722;0.0256;1.03
IPN;320;0.32;0.131;0.0115;0.0173;0.0069;0.257;0.00778;61.1;0.0001251;0.000782;0.127;0.00000555;0.0000847;0.0267;1.091
IPN;340;0.34;0.137;0.0122;0.0183;0.0073;0.274;0.00868;68.1;0.000157;0.000923;0.135;0.00000674;0.0000984;0.028;1.152
IPN;360;0.36;0.143;0.013;0.0195;0.0078;0.29;0.00971;76.2;0.0001961;0.00109;0.142;0.00000818;0.000114;0.029;1.208
IPN;380;0.38;0.149;0.0137;0.0205;0.0082;0.306;0.0107;84;0.0002401;0.00126;0.15;0.00000975;0.000131;0.0302;1.266
IPN;400;0.4;0.155;0.0144;0.0216;0.0086;0.323;0.0118;92.6;0.0002921;0.00146;0.157;0.0000116;0.000149;0.0313;1.33
IPN;450;0.45;0.17;0.0162;0.0243;0.0097;0.363;0.0147;115;0.0004585;0.00204;0.177;0.0000173;0.000203;0.0343;1.478
IPN;500;0.5;0.185;0.018;0.027;0.0108;0.404;0.018;141;0.0006874;0.00275;0.196;0.0000248;0.000268;0.0372;1.626
IPN;550;0.55;0.2;0.019;0.03;0.0119;0.444;0.0213;167;0.0009918;0.00361;0.216;0.0000349;0.000349;0.0402;1.797
IPN;600;0.6;0.215;0.0216;0.0324;0.013;0.485;0.0254;199;0.00139;0.00463;0.234;0.0000467;0.000434;0.043;1.924
IPE;80;0.08;0.046;0.0038;0.0052;0.005;0.059;0.000764;6;0.000000801;0.00002;0.0324;8.49E-08;0.00000369;0.0105;0.328
IPE;100;0.1;0.055;0.0041;0.0057;0.007;0.074;0.00103;8.1;0.00000171;0.0000342;0.0407;0.000000159;0.00000579;0.0124;0.4
IPE;120;0.12;0.064;0.0044;0.0063;0.007;0.093;0.00132;10.4;0.00000318;0.000053;0.049;0.000000277;0.00000865;0.0145;0.475
IPE;140;0.14;0.073;0.0047;0.0069;0.007;0.112;0.00164;12.9;0.00000541;0.0000773;0.0574;0.000000449;0.0000123;0.0165;0.551
IPE;160;0.16;0.082;0.005;0.0074;0.009;0.127;0.00201;15.8;0.00000869;0.000109;0.0658;0.000000683;0.0000167;0.0184;0.623
IPE;180;0.18;0.091;0.0053;0.008;0.009;0.146;0.00239;18.8;0.0000132;0.000146;0.0742;0.00000101;0.0000222;0.0205;0.698
IPE;200;0.2;0.1;0.0056;0.0085;0.012;0.159;0.00285;22.4;0.0000194;0.000194;0.0826;0.00000142;0.0000285;0.0224;0.768
IPE;220;0.22;0.11;0.0059;0.0092;0.012;0.177;0.00334;26.2;0.0000277;0.000252;0.0911;0.00000205;0.0000373;0.0248;0.848
IPE;240;0.24;0.12;0.0062;0.0098;0.015;0.19;0.00391;30.7;0.0000389;0.000324;0.0997;0.00000284;0.0000473;0.0269;0.922
IPE;270;0.27;0.135;0.0066;0.0102;0.015;0.219;0.00459;36.1;0.0000579;0.000429;0.112;0.0000042;0.0000622;0.0302;1.041
IPE;300;0.3;0.15;0.0071;0.0107;0.015;0.248;0.00538;42.2;0.0000836;0.000557;0.125;0.00000604;0.0000805;0.0335;1.159
IPE;330;0.33;0.16;0.0075;0.0115;0.018;0.271;0.00626;49.1;0.0001177;0.000713;0.137;0.00000788;0.0000985;0.0355;1.254
IPE;360;0.36;0.17;0.008;0.0127;0.018;0.298;0.00727;57.1;0.0001627;0.000904;0.15;0.0000104;0.000123;0.0379;1.353
IPE;400;0.4;0.18;0.0086;0.0135;0.021;0.331;0.00845;66.3;0.0002313;0.00116;0.165;0.0000132;0.000146;0.0395;1.467
IPE;450;0.45;0.19;0.0094;0.0146;0.021;0.378;0.00988;77.6;0.0003374;0.0015;0.185;0.0000168;0.000176;0.0412;1.605
IPE;500;0.5;0.2;0.0102;0.016;0.021;0.426;0.0116;90.7;0.000482;0.00193;0.204;0.0000214;0.000214;0.0445;1.744
IPE;550;0.55;0.21;0.0111;0.0172;0.024;0.467;0.0134;106;0.0006712;0.00244;0.223;0.0000267;0.000254;0.0445;1.877
IPE;600;0.6;0.22;0.012;0.019;0.024;0.514;0.0156;122;0.0009208;0.00307;0.243;0.0000339;0.000308;0.0466;2.015
HEB;100;0.1;0.1;0.006;0.01;0.012;0.056;0.0026;20.4;0.0000045;0.0000899;0.0416;0.00000167;0.0000335;0.0253;0.567
HEB;120;0.12;0.12;0.0065;0.011;0.012;0.074;0.0034;26.7;0.00000864;0.000144;0.0504;0.00000318;0.0000529;0.0306;0.686
HEB;140;0.14;0.14;0.007;0.012;0.012;0.092;0.0043;33.7;0.0000151;0.000216;0.0593;0.0000055;0.0000785;0.0358;0.805
HEB;160;0.16;0.16;0.008;0.013;0.015;0.104;0.00543;42.6;0.0000249;0.000311;0.0678;0.00000889;0.000111;0.0405;0.918
HEB;180;0.18;0.18;0.0085;0.014;0.015;0.122;0.00653;51.2;0.0000383;0.000426;0.0766;0.0000136;0.000151;0.0457;1.04
HEB;200;0.2;0.2;0.009;0.015;0.018;0.134;0.00781;61.3;0.000057;0.00057;0.0854;0.00002;0.0002;0.0507;1.15
HEB;220;0.22;0.22;0.0095;0.016;0.018;0.152;0.0091;71.5;0.0000809;0.000736;0.0943;0.0000284;0.000258;0.0559;1.27
HEB;240;0.24;0.24;0.01;0.017;0.021;0.164;0.0106;83.2;0.0001126;0.000938;0.103;0.0000392;0.000327;0.0608;1.38
HEB;260;0.26;0.26;0.01;0.0175;0.024;0.177;0.0118;93;0.0001492;0.00115;0.112;0.0000513;0.000395;0.0658;1.5
HEB;280;0.28;0.28;0.0105;0.018;0.024;0.196;0.0131;103;0.0001927;0.00138;0.121;0.0000659;0.000471;0.0709;1.62
HEB;300;0.3;0.3;0.011;0.019;0.027;0.208;0.0149;117;0.0002517;0.00168;0.13;0.0000856;0.000571;0.0758;1.73
HEB;320;0.32;0.3;0.0115;0.0205;0.027;0.225;0.0161;127;0.0003082;0.00193;0.138;0.0000924;0.000616;0.0757;1.77
HEB;340;0.34;0.3;0.012;0.0215;0.027;0.243;0.0171;134;0.0003666;0.00216;0.146;0.0000969;0.000646;0.0753;1.81
HEB;360;0.36;0.3;0.0125;0.0225;0.027;0.261;0.0181;142;0.0004319;0.0024;0.155;0.0001014;0.000676;0.0749;1.85
HEB;400;0.4;0.3;0.0135;0.024;0.027;0.298;0.0198;155;0.0005768;0.00288;0.171;0.0001082;0.000721;0.074;1.93
HEB;450;0.45;0.3;0.014;0.026;0.027;0.344;0.0218;171;0.0007989;0.00355;0.191;0.0001172;0.000781;0.0733;2.03
HEB;500;0.5;0.3;0.0145;0.028;0.027;0.39;0.0239;187;0.001072;0.00429;0.212;0.0001262;0.000842;0.0727;2.12
HEB;550;0.55;0.3;0.015;0.029;0.027;0.438;0.0254;199;0.001367;0.00497;0.232;0.0001308;0.000872;0.0717;2.22
HEB;600;0.6;0.3;0.0155;0.03;0.027;0.486;0.027;212;0.00171;0.0057;0.252;0.0001353;0.000902;0.0708;2.32
HEA;100;0.096;0.1;0.005;0.008;0.012;0.056;0.00212;16.7;0.00000349;0.0000728;0.0406;0.00000134;0.0000268;0.0251;0.561
HEA;120;0.114;0.12;0.005;0.008;0.012;0.074;0.00253;19.9;0.00000606;0.000106;0.0489;0.00000231;0.0000385;0.0302;0.677
HEA;140;0.133;0.14;0.0055;0.0085;0.012;0.092;0.00314;24.7;0.0000103;0.000155;0.0573;0.00000389;0.0000556;0.0352;0.794
HEA;160;0.152;0.16;0.006;0.009;0.015;0.104;0.00388;30.4;0.0000167;0.00022;0.0657;0.00000616;0.0000769;0.0398;0.906
HEA;180;0.171;0.18;0.006;0.0095;0.015;0.122;0.00453;35.5;0.0000251;0.000294;0.0745;0.00000925;0.000103;0.0452;1.02
HEA;200;0.19;0.2;0.0065;0.01;0.018;0.134;0.00538;42.3;0.0000369;0.000389;0.0828;0.0000134;0.000134;0.0498;1.14
HEA;220;0.21;0.22;0.007;0.011;0.018;0.152;0.00643;50.5;0.0000541;0.000515;0.0917;0.0000195;0.000178;0.0551;1.26
HEA;240;0.23;0.24;0.0075;0.012;0.021;0.164;0.00768;60.3;0.0000776;0.000675;0.101;0.0000277;0.000231;0.06;1.37
HEA;260;0.25;0.26;0.0075;0.0125;0.024;0.177;0.00868;68.2;0.0001045;0.000836;0.11;0.0000367;0.000282;0.065;1.48
HEA;280;0.27;0.28;0.008;0.013;0.024;0.196;0.00973;76.4;0.0001367;0.00101;0.119;0.0000476;0.00034;0.07;1.6
HEA;300;0.29;0.3;0.0085;0.014;0.027;0.208;0.0113;88.3;0.0001826;0.00126;0.127;0.0000631;0.000421;0.0747;1.72
HEA;320;0.31;0.3;0.009;0.0155;0.027;0.225;0.0124;97.6;0.0002293;0.00148;0.136;0.0000699;0.000466;0.0751;1.76
HEA;340;0.33;0.3;0.0095;0.0165;0.027;0.243;0.0133;105;0.0002769;0.00168;0.144;0.0000744;0.000496;0.0746;1.79
HEA;360;0.35;0.3;0.01;0.0175;0.027;0.261;0.0143;112;0.0003309;0.00189;0.152;0.0000789;0.000526;0.0743;1.83
HEA;400;0.39;0.3;0.011;0.019;0.027;0.298;0.0159;125;0.0004507;0.00231;0.168;0.0000856;0.000571;0.0734;1.91
HEA;450;0.44;0.3;0.0115;0.021;0.027;0.344;0.0178;140;0.0006372;0.0029;0.189;0.0000947;0.000631;0.0729;2.01
HEA;500;0.49;0.3;0.012;0.023;0.027;0.39;0.0198;155;0.0008697;0.00355;0.21;0.0001037;0.000691;0.0724;2.11
HEA;550;0.54;0.3;0.0125;0.024;0.027;0.438;0.0212;166;0.001119;0.00415;0.23;0.0001082;0.000721;0.0715;2.21
HEA;600;0.59;0.3;0.013;0.025;0.027;0.486;0.0226;178;0.001412;0.00479;0.25;0.0001127;0.000751;0.0705;2.31
HEM;100;0.12;0.106;0.012;0.02;0.012;0.056;0.00532;41.8;0.0000114;0.00019;0.0463;0.00000399;0.0000753;0.0274;0.619
HEM;120;0.14;0.126;0.0125;0.021;0.012;0.074;0.00664;52.1;0.0000202;0.000288;0.0551;0.00000703;0.000112;0.0325;0.738
HEM;140;0.16;0.146;0.013;0.022;0.012;0.092;0.00806;63.2;0.0000329;0.000411;0.0639;0.0000114;0.000157;0.0377;0.857
HEM;160;0.18;0.166;0.014;0.023;0.015;0.104;0.00971;76.2;0.000051;0.000566;0.0725;0.0000176;0.000212;0.0426;0.97
HEM;180;0.2;0.186;0.0145;0.024;0.015;0.122;0.0113;88.9;0.0000748;0.000748;0.0813;0.0000258;0.000277;0.0477;1.09
HEM;200;0.22;0.206;0.015;0.025;0.018;0.134;0.0131;103;0.0001064;0.000967;0.09;0.0000365;0.000354;0.0527;1.2
HEM;220;0.24;0.226;0.0155;0.026;0.018;0.152;0.0149;117;0.000146;0.00122;0.0989;0.0000501;0.000444;0.0579;1.32
HEM;240;0.27;0.248;0.018;0.032;0.021;0.164;0.02;157;0.0002429;0.0018;0.11;0.0000815;0.000657;0.0639;1.46
HEM;260;0.29;0.268;0.018;0.0325;0.024;0.177;0.022;172;0.0003131;0.00216;0.119;0.0001045;0.00078;0.069;1.57
HEM;280;0.31;0.288;0.0185;0.033;0.024;0.196;0.024;189;0.0003955;0.00255;0.128;0.0001316;0.000914;0.074;1.69
HEM;300;0.34;0.31;0.021;0.039;0.027;0.208;0.0303;238;0.000592;0.00348;0.14;0.000194;0.00125;0.08;1.83
HEM;320;0.359;0.309;0.021;0.04;0.027;0.225;0.0312;245;0.0006813;0.0038;0.148;0.0001971;0.00128;0.0795;1.87
HEM;340;0.377;0.309;0.021;0.04;0.027;0.243;0.0316;248;0.0007637;0.00405;0.156;0.0001971;0.00128;0.079;1.9
HEM;360;0.395;0.308;0.021;0.04;0.027;0.261;0.0319;250;0.0008487;0.0043;0.163;0.0001952;0.00127;0.0783;1.93
HEM;400;0.432;0.307;0.021;0.04;0.027;0.298;0.0326;256;0.001041;0.00482;0.179;0.0001934;0.00126;0.077;2
HEM;450;0.478;0.307;0.021;0.04;0.027;0.344;0.0335;263;0.001315;0.0055;0.198;0.0001934;0.00126;0.0759;2.1
HEM;500;0.524;0.306;0.021;0.04;0.027;0.39;0.0344;270;0.001619;0.00618;0.217;0.0001915;0.00125;0.0746;2.18
HEM;550;0.572;0.306;0.021;0.04;0.027;0.438;0.0354;278;0.00198;0.00692;0.236;0.0001915;0.00125;0.0735;2.28
HEM;600;0.62;0.305;0.021;0.04;0.027;0.486;0.0364;285;0.002374;0.00766;0.256;0.0001898;0.00124;0.0722;2.37
UPN;80;0.08;0.045;0.006;0.008;0.004;0.046;0.0011;8.64;0.00000106;0.0000265;0.031;0.000000194;0.00000636;0.0133;0.312
UPN;100;0.1;0.05;0.006;0.0085;0.0045;0.064;0.00135;10.6;0.00000206;0.0000412;0.0391;0.000000293;0.00000849;0.0147;0.372
UPN;120;0.12;0.055;0.007;0.009;0.0045;0.082;0.0017;13.4;0.00000364;0.0000607;0.0462;0.000000432;0.0000111;0.0159;0.434
UPN;140;0.14;0.06;0.007;0.01;0.005;0.098;0.00204;16;0.00000605;0.0000864;0.0545;0.000000627;0.0000148;0.0175;0.489
UPN;160;0.16;0.065;0.0075;0.0105;0.0055;0.115;0.0024;18.8;0.00000925;0.000116;0.0621;0.000000853;0.0000183;0.0189;0.546
UPN;180;0.18;0.07;0.008;0.011;0.0055;0.133;0.0028;22;0.0000135;0.00015;0.0695;0.00000114;0.0000224;0.0202;0.611
UPN;200;0.2;0.075;0.0085;0.0115;0.006;0.151;0.00322;25.3;0.0000191;0.000191;0.077;0.00000148;0.000027;0.0214;0.661
UPN;220;0.22;0.08;0.009;0.0125;0.0065;0.167;0.00374;29.4;0.0000269;0.000245;0.0848;0.00000197;0.0000336;0.023;0.718
UPN;240;0.24;0.085;0.0095;0.013;0.0065;0.184;0.00423;33.2;0.000036;0.0003;0.0922;0.00000248;0.0000396;0.0242;0.775
UPN;260;0.26;0.09;0.01;0.014;0.007;0.2;0.00483;37.9;0.0000482;0.000371;0.0999;0.00000317;0.0000477;0.0256;0.834
UPN;280;0.28;0.095;0.01;0.015;0.0075;0.216;0.00533;41.8;0.0000628;0.000448;0.109;0.00000399;0.0000572;0.0274;0.89
UPN;300;0.3;0.1;0.01;0.016;0.008;0.232;0.00588;46.2;0.0000803;0.000535;0.117;0.00000495;0.0000678;0.029;0.95
UPN;320;0.32;0.1;0.014;0.0175;0.0088;0.246;0.00758;59.5;0.0001087;0.000679;0.121;0.00000597;0.0000806;0.0281;0.982
UPN;350;0.35;0.1;0.014;0.016;0.008;0.282;0.00773;60.6;0.0001284;0.000734;0.129;0.0000057;0.000075;0.0272;1.047
UPN;380;0.38;0.102;0.0135;0.016;0.008;0.313;0.00804;63.1;0.0001576;0.000829;0.14;0.00000615;0.0000787;0.0277;1.11
UPN;400;0.4;0.11;0.014;0.018;0.009;0.324;0.00915;71.8;0.0002035;0.00102;0.149;0.00000846;0.000102;0.0304;1.182
