Current Variable Name,Suggested New Name,Reason for Change,Approximate Line Numbers,Category
r_geometry,r_geometry,Already follows convention (reference prefix),31,Reference Variable
r_properties,r_properties,Already follows convention (reference prefix),89,Reference Variable
r_N,r_N,Already follows convention (reference prefix),90,Reference Variable
r_integration_points,r_integration_points,Already follows convention (reference prefix),117,Reference Variable
mConstitutiveLawVector,mConstitutiveLawVector,Already follows convention (member prefix),95,Member Variable
number_of_control_points,number_of_control_points,Already follows convention,32,Local Variable
pos,dof_position,More descriptive name,37,Local Variable
index,dof_index,More descriptive name,40,Local Variable
i,i,Loop counter - acceptable as is,39,Loop Counter
point_number,integration_point_number,More descriptive name,98,Local Variable
_dL,element_length,Remove underscore prefix + more descriptive,120,Local Variable
integration_weight,integration_weight,Already descriptive,122,Local Variable
mult,integration_multiplier,More descriptive name,130,Local Variable
nb_nodes,number_of_nodes,More descriptive name,160,Local Variable
disp,displacement,More descriptive name,167,Local Variable
rot,rotation,More descriptive name,168,Local Variable
vel,velocity,More descriptive name,186,Local Variable
ang_vel,angular_velocity,More descriptive name,187,Local Variable
acc,acceleration,More descriptive name,206,Local Variable
ang_acc,angular_acceleration,More descriptive name,207,Local Variable
integration_points,integration_points,Already descriptive,223,Local Variable
m_,moment_vector,More descriptive name,225,Local Variable
f_,force_vector,More descriptive name,226,Local Variable
numerical_limit,numerical_limit,Already descriptive,309,Local Variable
u_mid,midpoint_parameter,More descriptive name,435,Local Variable
_t_var,tangent_variation,Remove underscore prefix + more descriptive,442,Local Variable
_deriv,shape_function_derivatives,Remove underscore prefix + more descriptive,442,Local Variable
_r1,first_derivative_vector,Remove underscore prefix + more descriptive,442,Local Variable
r1_dL,first_derivative_length,More descriptive name,448,Local Variable
r1_dLpow3,first_derivative_length_cubed,More descriptive name,449,Local Variable
r1_var,first_derivative_variation,More descriptive name,451,Local Variable
r1_r1_var,first_derivative_dot_variation,More descriptive name,468,Local Variable
xyz,coordinate_index,More descriptive name,459,Local Variable
r1_pow3,first_derivative_length_cubed,More descriptive name,496,Local Variable
r1_pow5,first_derivative_length_fifth,More descriptive name,497,Local Variable
r1_pow7,first_derivative_length_seventh,More descriptive name,675,Local Variable
r1var_r1var,derivative_variation_product,More descriptive name,534,Local Variable
xyz_r,coordinate_index_r,More descriptive name,554,Local Variable
xyz_s,coordinate_index_s,More descriptive name,558,Local Variable
j,j,Loop counter - acceptable as is,559,Loop Counter
r1r11,first_second_derivative_dot,More descriptive name,579,Local Variable
r11r11,second_derivative_dot,More descriptive name,581,Local Variable
r11_var,second_derivative_variation,More descriptive name,598,Local Variable
r11_r1_var,second_first_derivative_dot_variation,More descriptive name,616,Local Variable
r1_r11_var,first_second_derivative_dot_variation,More descriptive name,619,Local Variable
_t_deriv_var,tangent_derivative_variation,Remove underscore prefix,573,Local Variable
_deriv2,second_derivatives,Remove underscore prefix,573,Local Variable
_r2,second_derivative_vector,Remove underscore prefix,573,Local Variable
xyzr,coordinate_index_r,More descriptive name,752,Local Variable
xyzs,coordinate_index_s,More descriptive name,753,Local Variable
_t_deriv_var_var,tangent_derivative_variation_variation,Remove underscore prefix,663,Local Variable
_t_deriv2_var,tangent_second_derivative_variation,Remove underscore prefix,774,Local Variable
_deriv3,third_derivatives,Remove underscore prefix,774,Local Variable
_r3,third_derivative_vector,Remove underscore prefix,774,Local Variable
r1_r1der,first_derivative_dot_derivative,More descriptive name,781,Local Variable
r1_r1der_der,first_derivative_dot_second_derivative,More descriptive name,782,Local Variable
_mat_rod,rodrigues_matrix,Remove underscore prefix,883,Local Variable
_vec,rotation_vector,Remove underscore prefix,883,Local Variable
_phi,rotation_angle,Remove underscore prefix,883,Local Variable
_mat_identity,identity_matrix,Remove underscore prefix,886,Local Variable
_mat_rod_der,rodrigues_matrix_derivative,Remove underscore prefix,895,Local Variable
_vec_deriv,rotation_vector_derivative,Remove underscore prefix,895,Local Variable
_phi_deriv,rotation_angle_derivative,Remove underscore prefix,895,Local Variable
_mat_rod_var,rodrigues_matrix_variation,Remove underscore prefix,909,Local Variable
_vec_var,rotation_vector_variation,Remove underscore prefix,909,Local Variable
_func,shape_functions,Remove underscore prefix + more descriptive,909,Local Variable
permutation,permutation_tensor,More descriptive name,916,Local Variable
k,k,Loop counter - acceptable as is,921,Loop Counter
t,t,Loop counter - acceptable as is,937,Loop Counter
u,u,Loop counter - acceptable as is,939,Loop Counter
s,s,Loop counter - acceptable as is,1018,Loop Counter
r,r,Loop counter - acceptable as is,941,Loop Counter
phi_var,rotation_angle_variation,More descriptive name,999,Local Variable
phi_der_var,rotation_angle_derivative_variation,More descriptive name,1083,Local Variable
cs,cosine_value,More descriptive name,1164,Local Variable
sn,sine_value,More descriptive name,1166,Local Variable
_mat_lambda,lambda_matrix,Remove underscore prefix,1404,Local Variable
_vec1,first_vector,Remove underscore prefix,1404,Local Variable
_vec2,second_vector,Remove underscore prefix,1404,Local Variable
_mat_lambda_tmp,lambda_matrix_temporary,Remove underscore prefix,1407,Local Variable
tmp,temporary_value,More descriptive name,1409,Local Variable
cross_vec1_vec2,cross_product_vectors,More descriptive name,1415,Local Variable
l_cross_vec1_vec2,cross_product_length,More descriptive name,1417,Local Variable
e_hat,unit_vector,More descriptive name,1418,Local Variable
v1_cr_v2,vector_cross_product,More descriptive name,1426,Local Variable
T0_T,vector_dot_product,More descriptive name,1456,Local Variable
T0_T1,first_vector_second_derivative_dot,More descriptive name,1457,Local Variable
T01_T,first_derivative_second_vector_dot,More descriptive name,1458,Local Variable
T0xT,vector_cross_product,More descriptive name,1459,Local Variable
T0xT1,first_vector_second_derivative_cross,More descriptive name,1460,Local Variable
T01xT,first_derivative_second_vector_cross,More descriptive name,1461,Local Variable
T0xT_1,cross_product_derivative,More descriptive name,1462,Local Variable
A,transformation_matrix,More descriptive name,1466,Local Variable
T0_Tder,first_vector_second_derivative_dot,More descriptive name,1487,Local Variable
T0der_T,first_derivative_second_vector_dot,More descriptive name,1488,Local Variable
T0der_Tder,derivatives_dot_product,More descriptive name,1489,Local Variable
T0derder_T,second_derivative_vector_dot,More descriptive name,1490,Local Variable
T0_Tderder,vector_second_derivative_dot,More descriptive name,1491,Local Variable
T0_T_der,vector_dot_derivative,More descriptive name,1492,Local Variable
T0_T_derder,vector_dot_second_derivative,More descriptive name,1493,Local Variable
T0xTder,vector_derivative_cross,More descriptive name,1495,Local Variable
T0derxT,derivative_vector_cross,More descriptive name,1496,Local Variable
T0derxTder,derivatives_cross_product,More descriptive name,1497,Local Variable
T0derderxT,second_derivative_vector_cross,More descriptive name,1498,Local Variable
T0xTderder,vector_second_derivative_cross,More descriptive name,1499,Local Variable
T0xT_der,cross_product_derivative,More descriptive name,1500,Local Variable